Session_ID,Day,Session_Type,Start_Time,End_Time,Time,Room,Session_Title,Presenter,Description,Track,Tags,Image,Bio
1,Day 1,Keynote,9:15,10:15 AM,9:15–10:15 AM,TBD,The Conditions We Create: Justice-Centered Education and Who Becomes Possible,"Vincent C. Flewellen, MSW, EdD","In this opening keynote for the Saint Louis University School of Education Summer Learning Institute, Vincent C. Flewellen, MSW, EdD invites educators to understand justice-centered education not only as a set of beliefs, values or practices, but as the creation of conditions. Drawing from his experiences as a teacher, Chief Diversity Officer, scholar-practitioner and civic leader, Flewellen explores how curriculum, belonging, voice, leadership, representation, accountability and institutional culture shape what becomes thinkable, speakable, doable and ultimately who becomes possible. Through personal narrative, research and reflection on the current educational landscape, this keynote challenges educators to see themselves as architects of the conditions in which students, communities and futures become.",Main Session,,,
2,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,"Partnering with Families of Neurodivergent Students: Building Trust, Consistency, and Collaboration","Leslie T. Tolliver, JD, SHRM-CP","Effective support for neurodivergent students depends on strong, trusting partnerships between schools and families. Yet these relationships are often strained by stigma, inconsistent communication, and systems that position families as passive recipients rather than active collaborators.

This session explores practical, justice-centered strategies for building authentic school–home partnerships with families of neurodivergent learners (including autistic, ADHD, dyslexic, and other learning differences). Participants will examine how bias and deficit-based language can unintentionally erode trust and learn concrete approaches to shift toward strengths-based, culturally responsive collaboration.

Educators will leave with immediately usable tools for communication, problem-solving, and shared decision-making that honor family expertise, center student identity, and promote consistency between home and school supports.",AM – Session A,,,
3,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,Culturally Responsive Teaching: Recognizing Bias to Better Serve Students,Anissa Williams,"This interactive session helps educators examine how lived experiences shape implicit bias and how it can show up in classroom practice. Participants will build a shared understanding of bias, engage in reflection activities, and explore real-world scenarios. The session emphasizes practical strategies to reduce bias and to foster inclusive classroom environments for all students.",AM – Session B,,,
4,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,"Teaching Students, Not Just Subjects: Reframing Classroom Practice Through Student-Centered Learning",Dr. Ken Patterson,"This session explores how classroom practices and instructional language can unintentionally prioritize compliance and content delivery over meaningful student engagement. Grounded in current Student-Centered Learning (SCL) research, Dr. Ken Patterson will share practical, justice-centered strategies that help educators create equitable, inclusive, and relationship-driven learning environments for all students. Participants will examine how daily teacher decisions influence belonging, engagement, and achievement while leaving with immediately applicable practices that support authentic student learning and success across diverse educational settings.",AM – Session C,,,
5,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,Empathy & Restoring Harm: You Can't Have One without the Other,"Brittany Hogan, MSW, ASCW; Jennifer Strauser","Are you looking for guidance in addressing the social-emotional needs of students and staff?
This training connects the core principles from the book Circle Forward: Building a Restorative School Community to the practice of empathy and repairing harm. By gaining a thorough understanding of empathy, restorative practices, and the distinctions between dialogue and discussion, school leaders will enhance their essential skills of unconditional positive regard and presumption of positive intentions.",AM – Session D,,,
6,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,Why is St. Louis So Segregated? How Past Housing Discrimination Shaped Districts,Dr. Amy Shelton,"There are 23 geographic school districts in St. Louis City and County, and district boundary lines can determine which students have access to educational opportunity in our region. Per pupil spending ranges from $11,585/year in Bayless to $23,500/year in Clayton, while percent White ranges from 0.5% to 82.4%. How did this come to be? This presentation examines the history of housing discrimination in St. Louis and how it directly impacts students in schools today.",AM – Session E,,,
7,Day 1,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,From Idea to Action: Building a Student-Centered Culture that Lasts,Kwira Vickers; Jessica Pachak,"This session explores how schools and youth-focused organizations can move beyond their mission statements to create meaningful, sustainable student-centered learning environments. Presenters will highlight practical strategies for building a culture where students feel seen and are challenged and supported to succeed through intentional scheduling, equitable systems and an academic culture. Participants will leave with actionable ideas about strengthening academic culture, fostering a sense of pride and creating student-centered systems.
",AM – Session F,,,
8,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,Words That Matter: Using Gender-Affirming Language to Support LGBTQ+ Students,"Jess Jones, MA","Inclusive language matters, but putting it into practice can feel intimidating. This session helps educators overcome challenges in using gender-affirming language by exploring practical, implementable strategies. With the expert guidance of a nonbinary former English teacher, you'll increase your confidence with affirming language and create a more supportive school community. This is a judgment-free space where mistakes and tough questions are welcome, with opportunities for honest dialogue about supporting LGBTQ+ students in today’s sociopolitical climate.",PM – Session A,,,
9,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,"Breathe, Balance, Belonging: Healing-Centered Practices for Justice-Centered Education","Chelesa S. Holden, LMSW","This interactive session explores how trauma-informed, culturally responsive wellness practices can support justice-centered education and student belonging. Grounded in The Oxygen Project: Yoga for Youth’s community-based model, participants will learn how breathwork, mindfulness, and movement can help create safer, more affirming learning environments for youth. Attendees will leave with practical tools to support emotional regulation, collective care, and healing-centered practice in schools and youth-serving spaces.",PM – Session B,,,
10,Day 1,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,Liberate Your Leadership: A 5-Step Formula to Unlock the Leader Within,April Warren-Grice,"Liberate Your Leadership: A 5-Step Formula to Unlock the Leader Within

In a rapidly shifting educational landscape, the retention and sustainability of all educators, especially those who are racially, ethnically, and culturally diverse, is vital to student success. However, traditional school structures often leave educators, especially minoritized educators, at every level facing isolation, exhaustion, and systemic barriers that ""seduce them to forget"" their intrinsic power. This interactive session introduces Dr. April Warren-Grice’s signature 5-Step Formula to Liberate Your Genius, a holistic framework designed to help educators shift their internal narratives, heal from oppressive workplace dynamics, and boldly step into leadership roles.

Justice-centered education cannot exist without addressing the internal wellness, preservation, and career development of the educators leading our classrooms and schools. Systemic equity relies heavily on human capital. By centering wellness, self-acceptance, and strategic visioning, this session explicitly counters the ""false hero myth"" of isolated leadership. Instead, it offers a liberatory paradigm: when educators of heal, reclaim their identity, and build intergenerational collaborative ecosystems, they change their response to oppressive systems. This shift moves educators from trying to fit into rigid spaces toward proactively altering the system to foster student belonging, role modeling, and instructional equity.
The workshop functions as an experiential, collaborative working session that balances deeply personal reflection with practical, systems-level strategies.

Participants assess their current professional and personal fulfillment levels, identifying and actively dismantling internal boundaries regarding career stagnation, imposter syndrome, and fear.
Attendees map out a concrete, expansive vision for their career trajectories—envisioning themselves in advanced leadership, policy, or specialized instructional roles.
Shifting from isolation to collective efficacy, participants explore the power of intentional racial affinity and intergenerational networks to sustain their energy and drive.
Educators craft an immediate, phased plan to advocate for their career growth and navigate district human resource dynamics.
Participants reflect on how to build a culture of communal accountability and celebration that reinforces resilience and long-term career retention.

Ultimately, this session bridges the gap between individual educator sustainability and district-wide retention, providing school communities with a human-centered, equity-driven roadmap for leadership development.

Key Takeaways
Apply a 5-Step Mindset Formula to overcome professional stagnation, conquer fear of failure, and transition from career survival to impactful, sustained leadership.
Design an Actionable Professional Vision that defines personal career milestones, targets leadership opportunities, and expands their capacity to foster equitable learning environments.
Implement Practical Strategies for Community-Building by leverage networks and collaborative partnerships to cultivate long-term emotional and racial wellness.
Disrupt Isolation Tactics within traditional public or private educational structures by building intergenerational mentorship and peer accountability circles.",PM – Session C,,,
